91,WV2-DF,Front Mount Energy Sensor & Gateway for Digital Meters,WV2-DF,F-J,1,1,1/2/2016,5,1/2/2016
92,M-CAA,Full Cross Arm Kit,M-CAA,F-J,3,3,1/2/2016,5,1/2/2016
93,W4Q,Fyrite Combustion Efficiency Test kit,W4Q,F-J,2,2,1/2/2016,5,1/2/2016
97,AZ 7755 (AZ 0001),Hand-held CO2 Meter ,AZ 7755 (AZ 0001),F-J,3,3,1/2/2016,5,1/2/2016
98,AZ 7755 (AZ 0018),Hand-held CO2 Meter (w/DL),AZ 7755 (AZ 0018),F-J,2,2,1/2/2016,5,1/2/2016
99,LT300,Hand-held Light Level Meter,LT300,F-J,9,9,1/2/2016,5,1/2/2016
100,CL200A ,Hand-held Meter Color/Temp B,CL200A ,F-J,1,1,1/2/2016,5,1/2/2016
101,CL200A ,Hand-held Meter Color/Temp P,CL200A ,F-J,1,1,1/2/2016,5,1/2/2016
103,Q5-BK,HD Pocket Projector,Q5-BK,F-J,1,1,1/2/2016,5,1/2/2016
104,AN25,Heat index Anemometer,AN25,F-J,6,6,1/2/2016,5,1/2/2016
105,SIMUPUMP,Heat Pump Simulation,SIMUPUMP,F-J,1,1,1/2/2016,5,1/2/2016
107,H22-001,HOBO Energy Logger,H22-001,F-J,1,1,1/2/2016,5,1/2/2016
108,UA-004-64,HOBO Pendant G Logger,UA-004-64,F-J,4,4,1/2/2016,5,1/2/2016
109,U-DT-1,HOBO U-Shuttle,U-DT-1,F-J,2,2,1/2/2016,5,1/2/2016
110,ZW-007,HOBO: 2-Channel EXT Data Node,ZW-007,F-J,2,2,1/2/2016,5,1/2/2016
111,ZW-006,HOBO: 4-Analog Port Data Node,ZW-006,F-J,4,4,1/2/2016,5,1/2/2016
112,ZW-005,"HOBO: 4-Channel EXT t/rh,a,p",ZW-005,F-J,6,6,1/2/2016,5,1/2/2016
113,U12-006,HOBO: 4-Channel EXT.,U12-006,F-J,2,2,1/2/2016,5,1/2/2016
114,ZW-RCVR,HOBO: Indoor Wireless Receiver,ZW-RCVR,F-J,8,8,1/2/2016,5,1/2/2016
115,ZW-ROUTER,HOBO: Indoor Wireless ROUTER,ZW-ROUTER,F-J,16,16,1/2/2016,5,1/2/2016
116,UX90-002,HOBO: Light on/off,UX90-002,F-J,16,16,1/2/2016,5,1/2/2016
117,UX90-004,HOBO: Motor on/off,UX90-004,F-J,74,74,1/2/2016,5,1/2/2016
118,UX90-006m,HOBO: Occupancy 12m/Light,UX90-006m,F-J,10,10,1/2/2016,5,1/2/2016
119,U9-001,HOBO: State Change,U9-001,F-J,10,10,1/2/2016,5,1/2/2016
120,UX90-001,HOBO: State/Pulse/Event/Runtime,UX90-001,F-J,10,10,1/2/2016,5,1/2/2016
121,U12-013,HOBO: Temp/RH/2 EXT,U12-013,F-J,1,1,1/2/2016,5,1/2/2016
122,U12-012,HOBO: Temp/RH/Light/EXT,U12-012,F-J,7,7,1/2/2016,5,1/2/2016
123, U10-001,HOBO: Temperature, U10-001,F-J,9,9,1/2/2016,5,1/2/2016
124,U10-001,HOBO: Temperature ,U10-001,F-J,83,83,1/2/2016,5,1/2/2016
125,ZW-001,HOBO: Temperature Data Node,ZW-001,F-J,18,18,1/2/2016,5,1/2/2016
126,U10-003,HOBO: Temperature/RH,U10-003,F-J,10,10,1/2/2016,5,1/2/2016
127,AC-U30,HOBO: U30 Battery Charger,AC-U30,F-J,4,4,1/2/2016,5,1/2/2016
128,U30-GSM,HOBO: U30 Cellular Data,U30-GSM,F-J,2,2,1/2/2016,5,1/2/2016
129,bhw-litw-cd ,HOBOware Lite v.3.1,bhw-litw-cd ,F-J,19,19,1/2/2016,5,1/2/2016
130,bhw-pro-dld-sl,HOBOware Pro v.3,bhw-pro-dld-sl,F-J,9,9,1/2/2016,5,1/2/2016
132,TSI 9545,Hot Wire Anemometer,TSI 9545,F-J,5,5,1/2/2016,5,1/2/2016
133,AVM430,Hot Wire Anenometer,AVM430,F-J,2,2,1/2/2016,5,1/2/2016
135,R155-5B10,Humidity temperature tag,R155-5B10,F-J,10,10,1/2/2016,5,1/2/2016
136,44550,Humidity/Temperature Pen,44550,F-J,1,1,1/2/2016,5,1/2/2016
139,CO210,Indoor Air Quality CO2 Data Logger,CO210,F-J,2,2,1/2/2016,5,1/2/2016
140,Fluke 87V/E2,Industrial Electrician Combo Kit,Fluke 87V/E2,F-J,2,2,1/2/2016,5,1/2/2016
142,Fluke 62,Infrared Thermometer,Fluke 62,F-J,2,2,1/2/2016,5,1/2/2016
145,MGKL2LL,iPad Air 2,MGKL2LL,F-J,1,1,1/2/2016,5,1/2/2016
146,MD528LL/A,iPad Mini,MD528LL/A,F-J,31,31,1/2/2016,5,1/2/2016
