EquipmentAssetID,EquipmentGroupID,EquipmentName,EquipmentModel,EquipmentTagging,EquipmentQuantityTotal,EquipmentQuantityAvailable,EquipmentAddedDate,EquipmentAddedBy,EquipmentQuantityUpdatedDate,EquipmentPDFPath
52,T-CDI-5400-20S,Compressed Air Flow meter,T-CDI-5400-20S,A-E,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq52.pdf
55,Dell U2414H,Dell Ultra Sharp Monitor,Dell U2414H,A-E,2,2,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq55.pdf
57,T-VER-PXU-L,Differential Air Pressure,T-VER-PXU-L,A-E,4,4,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/DifferentialAirPressure.pdf
58,T-VER-PXU-L,Differential Air Pressure ,T-VER-PXU-L,A-E,2,2,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/DifferentialAirPressure.pdf
59,R160-0010,Differential air pressure sensor,R160-0010,A-E,2,2,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/DifferentialAirPressureSensor.pdf
60,HD755,Differential Pressure,HD755,A-E,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/DifferentialPressure.pdf
61,LM-100,Digital Light Meter,LM-100,A-E,48,48,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/DigitalLightMeter.pdf
64,DBEPFLEX6K-4,Dranetz EP1,DBEPFLEX6K-4,A-E,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/DranetzEP1.pdf
65,HDPQ-XPLORER-A,Dranetz Power Quality Analyzer,HDPQ-XPLORER-A,A-E,2,2,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/DranetzPowerQualityAnalyzer.pdf
68,Fluke - T5-600,Electrical Tester,Fluke - T5-600,A-E,2,2,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq68.pdf
70,S-UCC-M006,Electronic Switch Pulse Input Adapter,S-UCC-M006,A-E,6,6,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/ElectronicSwitchPulseInputAdapter.pdf
71,WV2-A,Energy Sensor & Gateway for Analog Meters,WV2-A,A-E,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq71.pdf
72,EN300,Environmental Meter,EN300,A-E,6,6,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq72.pdf
73,U23-002,External Temperature/RH,U23-002,A-E,2,2,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/ExternalTemperatureRH.pdf
82,S-FS-CVIA,Flex Smart Analog Module,S-FS-CVIA,F-J,3,3,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/FlexSmartAnalogModule.pdf
83,FLIR i7,FLIR i7 Thermo imaging camera,FLIR i7,F-J,5,5,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/FLIRi7ThermoImagingCamera.pdf
85,R135-0B50,Fluid detector tag,R135-0B50,F-J,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/FluidDetectorTag.pdf
86,5010-1L,Fluid Silicone Oil,5010-1L,F-J,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq86.pdf
87,Fluke 561,Fluke 561,Fluke 561,F-J,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq87.pdf
88,Fluke 566,Fluke Contact & Infrared Therm,Fluke 566,F-J,2,2,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/FlukeContact&InfraredTherm.pdf
89,Fluke TIS,Fluke Thermo Imaging,Fluke TIS,F-J,2,2,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/FlukeThermoImaging.pdf
90,1000FLT,Fluorescent Light Tester,1000FLT,F-J,3,3,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq90.pdf
91,WV2-DF,Front Mount Energy Sensor & Gateway for Digital Meters,WV2-DF,F-J,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq91.pdf
92,M-CAA,Full Cross Arm Kit,M-CAA,F-J,3,3,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq92.pdf
93,W4Q,Fyrite Combustion Efficiency Test kit,W4Q,F-J,2,2,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/FyriteCombustionEfficiencyTestkit.pdf
97,AZ 7755 (AZ 0001),Hand-held CO2 Meter ,AZ 7755 (AZ 0001),F-J,3,3,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/Hand-heldCO2Meter.pdf
98,AZ 7755 (AZ 0018),Hand-held CO2 Meter (w/DL),AZ 7755 (AZ 0018),F-J,2,2,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq98.pdf
99,LT300,Hand-held Light Level Meter,LT300,F-J,9,9,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/Hand-heldLightLevelMeter.pdf
100,CL200A ,Hand-held Meter Color/Temp B,CL200A ,F-J,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/Hand-heldMeterColorTemp.pdf
101,CL200A ,Hand-held Meter Color/Temp P,CL200A ,F-J,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/Hand-heldMeterColorTemp.pdf
103,Q5-BK,HD Pocket Projector,Q5-BK,F-J,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq103.pdf
104,AN25,Heat index Anemometer,AN25,F-J,6,6,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq104.pdf
105,SIMUPUMP,Heat Pump Simulation,SIMUPUMP,F-J,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq105.pdf
107,H22-001,HOBO Energy Logger,H22-001,F-J,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/HOBOEnergyLogger.pdf
108,UA-004-64,HOBO Pendant G Logger,UA-004-64,F-J,4,4,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq108.pdf
109,U-DT-1,HOBO U-Shuttle,U-DT-1,F-J,2,2,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq109.pdf
110,ZW-007,HOBO: 2-Channel EXT Data Node,ZW-007,F-J,2,2,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/HOBO2-ChannelEXTDataNode.pdf
111,ZW-006,HOBO: 4-Analog Port Data Node,ZW-006,F-J,4,4,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/HOBO4-AnalogPortDataNode.pdf
112,ZW-005,"HOBO: 4-Channel EXT t/rh,a,p",ZW-005,F-J,6,6,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/HOBO4-ChannelEXTtrhap.pdf
113,U12-006,HOBO: 4-Channel EXT.,U12-006,F-J,2,2,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/HOBO4-ChannelEXT.pdf
114,ZW-RCVR,HOBO: Indoor Wireless Receiver,ZW-RCVR,F-J,8,8,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/HOBOIndoorWirelessReceiver.pdf
115,ZW-ROUTER,HOBO: Indoor Wireless ROUTER,ZW-ROUTER,F-J,16,16,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/HOBOIndoorWirelessROUTER.pdf
116,UX90-002,HOBO: Light on/off,UX90-002,F-J,16,16,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/HOBOLightOnOff.pdf
117,UX90-004,HOBO: Motor on/off,UX90-004,F-J,74,74,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/HOBOMotorOnOff.pdf
118,UX90-006m,HOBO: Occupancy 12m/Light,UX90-006m,F-J,10,10,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/HOBOOccupancy12mLight.pdf
119,U9-001,HOBO: State Change,U9-001,F-J,10,10,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/HOBOStateChange.pdf
120,UX90-001,HOBO: State/Pulse/Event/Runtime,UX90-001,F-J,10,10,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/HOBOStatePulseEventRuntime.pdf
121,U12-013,HOBO: Temp/RH/2 EXT,U12-013,F-J,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq121.pdf
122,U12-012,HOBO: Temp/RH/Light/EXT,U12-012,F-J,7,7,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/HOBOTempRHLightEXT.pdf
123,U10-001,HOBO: Temperature,U10-001,F-J,9,9,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/HOBOTemperature.pdf
124,U10-001,HOBO: Temperature ,U10-001,F-J,83,83,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq124.pdf
125,ZW-001,HOBO: Temperature Data Node,ZW-001,F-J,18,18,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/HOBOTemperatureDataNode.pdf
126,U10-003,HOBO: Temperature/RH,U10-003,F-J,10,10,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/HOBOTemperatureRH.pdf
127,AC-U30,HOBO: U30 Battery Charger,AC-U30,F-J,4,4,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq127.pdf
128,U30-GSM,HOBO: U30 Cellular Data,U30-GSM,F-J,2,2,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/HOBOU30CellularData.pdf
129,bhw-litw-cd ,HOBOware Lite v.3.1,bhw-litw-cd ,F-J,19,19,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq129.pdf
130,bhw-pro-dld-sl,HOBOware Pro v.3,bhw-pro-dld-sl,F-J,9,9,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/HOBOwareProv.3.pdf
132,TSI 9545,Hot Wire Anemometer,TSI 9545,F-J,5,5,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq132.pdf
133,AVM430,Hot Wire Anenometer,AVM430,F-J,2,2,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/ThermalAnemometerAlnorAVM430.pdf
135,R155-5B10,Humidity temperature tag,R155-5B10,F-J,10,10,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/HumidityTemperatureTag.pdf
136,44550,Humidity/Temperature Pen,44550,F-J,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/HumidityTemperaturePen.pdf
139,CO210,Indoor Air Quality CO2 Data Logger,CO210,F-J,2,2,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq139.pdf
140,Fluke 87V/E2,Industrial Electrician Combo Kit,Fluke 87V/E2,F-J,2,2,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/IndustrialElectricianComboKit.pdf
142,Fluke 62,Infrared Thermometer,Fluke 62,F-J,2,2,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/InfraredThermometer.pdf
145,MGKL2LL,iPad Air 2,MGKL2LL,F-J,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq145.pdf
146,MD528LL/A,iPad Mini,MD528LL/A,F-J,31,31,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq146.pdf
148,iSense,iSense for iPad Air 2,iSense,F-J,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq148.pdf
152,E503-4400,Kwh meter,E503-4400,K-P,28,28,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq152.pdf
153,T-WNB-3Y-208,kWh Xducer 208/240 VAC Wye,T-WNB-3Y-208,K-P,3,3,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/kWhXducer208240VACWye.pdf
