EquipmentAssetID,EquipmentGroupID,EquipmentName,EquipmentModel,EquipmentTagging,EquipmentQuantityTotal,EquipmentQuantityAvailable,EquipmentAddedDate,EquipmentAddedBy,EquipmentQuantityUpdatedDate,EquipmentPDFPath
226,SDL600,Sound Level Meter,SDL600,Q-T,2,2,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq266.pdf
232,SIMUMKT,Supermarket Refrigeation ,SIMUMKT,Q-T,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/SupermarketRefrigeation.pdf
233,1601,Surface Pro 2 - 256GB,1601,Q-T,3,3,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq233.pdf
234,1631,Surface Pro 3,1631,Q-T,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq234.pdf
237,Telaire 7001,Telaire 7001 CO2 Device,Telaire 7001,Q-T,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/Telaire7001CO2Device.pdf
238,CABLE CO2,Telaire 7001 CO2 Sensor Cable,CABLE CO2,Q-T,4,4,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/Telaire7001CO2SensorCable.pdf
239,S-THB-M008,Temp/RH Sensor,S-THB-M008,Q-T,10,10,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq239.pdf
240,UX100-001,Temperature Logger,UX100-001,Q-T,8,8,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/TemperatureLogger.pdf
241,R150-5B10,Temperature Sensor,R150-5B10,Q-T,20,20,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/TemperatureSensor.pdf
242,S-TMB-M017,Temperature Smart Sensor (17M),S-TMB-M017,Q-T,4,4,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/TemperatureSmartSensor(17M).pdf
243,ZW-003,Temperature/RH,ZW-003,Q-T,4,4,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/TemperatureRH.pdf
244,DO10-3000-121,TFX Ultra RTD Kit,DO10-3000-121,Q-T,2,2,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq244.pdf
248,Flir E60,Thermal Image Camera,Flir E60,Q-T,4,4,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq248.pdf
249,AN100,Thermo-Anemometer,AN100,Q-T,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/ThermoAnemometer.pdf
250,TC6-J-K-T,Thermocouple Connectors,TC6-J-K-T,Q-T,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq250.pdf
251,TCW100-J,Thermocouple Wire Type J,TCW100-J,Q-T,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq251.pdf
252,Fluke 1730,Three Phase Electrical Energy Logger,Fluke 1730,Q-T,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/ThreePhaseElectricalEnergyLogger.pdf
253,SCT-2000-600,T-MAG-SCT-600,SCT-2000-600,Q-T,9,9,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/T-MAG-SCT-600.pdf
254,TMC6-HE,TMC6-HE Temp Sensor,TMC6-HE,Q-T,3,3,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/TMC6-HETempSensor.pdf
255,TMC20-HD,TMCx HD water/soil temp sensor,TMC20-HD,Q-T,12,12,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq255.pdf
256,WV2-DT,Top Mount Energy Sensor & Gateway for Digital Meters,WV2-DT,Q-T,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq256.pdf
257,Fluke 381,True RMS AC/DC Clamp Meter,Fluke 381,Q-T,4,4,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/TrueRMSACDCClampMeter.pdf
258,A-E50B2-LEADSET,T-VER-E50B2 Wiring Kit,A-E50B2-LEADSET,Q-T,6,6,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/T-VER-E50B2WiringKit.pdf
261,UL101,Ultrasonic Meter,UL101,U-Z,3,3,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/UltrasonicMeter.pdf
262,ADAPT-SER-USB,USB to Serial Adapter,ADAPT-SER-USB,U-Z,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq262.pdf
263,BRD10,USB Video Receiver,BRD10,U-Z,5,5,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq263.pdf
265,SDL310,Vane Thermo-Anemometer,SDL310,U-Z,4,4,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq265.pdf
266,Fluke 805,Vibration Meter,Fluke 805,U-Z,2,2,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/VibrationMeter.pdf
267,Fluke 810,Vibration Tester,Fluke 810,U-Z,2,2,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/VibrationTester.pdf
268,Extech BR250,Video Borescope,Extech BR250,U-Z,5,5,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/VideoBorescope.pdf
269,BR200-EXT,Video Borescope Extension Cable,BR200-EXT,U-Z,5,5,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq269.pdf
270,VIR50,Video IR Thermometer,VIR50,U-Z,2,2,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq270.pdf
271,Cable-ADAP5,Voltage Input adapter cable,Cable-ADAP5,U-Z,2,2,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/VoltageInputAdapterCable.pdf
272,A-WNB-LEADSET,VOLTAGE input lead set,A-WNB-LEADSET,U-Z,3,3,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/VOLTAGEInputLeadSet.pdf
275,UTBI-001,Water Temperature Logger,UTBI-001,U-Z,2,2,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/WaterTemperatureLogger.pdf
277,netatmo,Weather Station,netatmo,U-Z,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq277.pdf
278,S-EXT-CASE2,WeatherProof EXT. Housing,S-EXT-CASE2,U-Z,8,8,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/WeatherProofEXTHousing.pdf
281,Wi-Spy DBx,Wifi Spectrum Analyzer,Wi-Spy DBx,U-Z,1,1,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/eq6.pdf
282,S-WDA-M003,Wind Direction Smart Sensor,S-WDA-M003,U-Z,3,3,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/WindDirectionSmartSensor.pdf
283,S-WSA-M003,Wind Speed Smart Sensor,S-WSA-M003,U-Z,2,2,2/1/16,5,2/1/16,http://ec2-52-4-106-227.compute-1.amazonaws.com/cunyappresources/pdf/WindSpeedSmartSensor.pdf
